"filename", "language", "YAML", "PowerShell", "MS SQL", "Dart", "Markdown", "JSON", "Gradle", "JavaScript", "Swift", "Java Properties", "HTML", "XML", "C++", "Ruby", "TypeScript", "comment", "blank", "total"
"c:\maouidi 22\maouidi\README.md", "Markdown", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8
"c:\maouidi 22\maouidi\analysis_options.yaml", "YAML", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 13, 70
"c:\maouidi 22\maouidi\analyze_errors.ps1", "PowerShell", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 37
"c:\maouidi 22\maouidi\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 90
"c:\maouidi 22\maouidi\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\maouidi 22\maouidi\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 9, 53
"c:\maouidi 22\maouidi\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"c:\maouidi 22\maouidi\android\app\src\main\res\values-night-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 19
"c:\maouidi 22\maouidi\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 19
"c:\maouidi 22\maouidi\android\app\src\main\res\values-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 19
"c:\maouidi 22\maouidi\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\maouidi 22\maouidi\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 19
"c:\maouidi 22\maouidi\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\maouidi 22\maouidi\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 54
"c:\maouidi 22\maouidi\android\build\reports\problems\problems-report.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 550, 0, 0, 0, 0, 0, 114, 664
"c:\maouidi 22\maouidi\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\maouidi 22\maouidi\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 1, 7
"c:\maouidi 22\maouidi\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\maouidi 22\maouidi\capture_analyze.ps1", "PowerShell", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
